0x6E5c4B533730806a191525Ea7AC028207D012674
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000000', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': False, 'new': True}
set_withdrawal_fee_event | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': '0000000000000000000000000000000000000000000000000000000000000032', 'new': '0000000000000000000000000000000000000000000000000000000000000032'}
toggle_contract_open | {'ownerAddress': '0000000000000000000000000d57115276cec1ccb4be742e513b0df8e388809c', 'old': True, 'new': False}
